channel,target,headline,sentiment_gemini,sentiment_vader,sentiment_textblob
CNN,Biden,Israeli journalist on what ‘scared’ Netanyahu to act after talk with Biden,0.0,0.0,0.0
CNN,Trump,Trump Media stock sinks to post-merger low,-0.8,-0.2732,-0.05
CNN,Trump,Breaking down Trump’s attacks on the daughter of the judge in his New York hush-money trial,-0.3,-0.4404,-0.009595959595959616
CNN,Trump,Republican strategist says Trump has made a critical mistake in the campaign,-0.4,-0.5719,0.0
CNN,Trump,Hear Trump explain away Melania’s absence from the campaign trail,-0.5,0.0,-0.0125
FOX,Biden,Families of American hostages in Gaza urge Biden to act after 6 months of conflict: 'Don't have time' to wait,-0.2,-0.3182,0.0
FOX,Biden,Biden campaign announces huge fundraising haul,0.5,0.3182,0.4000000000000001
FOX,Biden,Biden admin reportedly set to defy Supreme Court in bid to win over voters before election,-0.1,0.8126,0.8
FOX,Biden,Major news outlet ripped for saying Biden has 'clamped down' on border crossings,-0.3,0.0,-0.04652777777777779
FOX,Biden,Inside Biden’s controversial history of claiming to be member of many ethnic groups,-0.5,-0.2023,0.525
FOX,Biden,11 ways Biden and his handlers are hell-bent on destroying America,-1.0,-0.5574,-0.2
FOX,Biden,Social media puzzled by USA Today’s claim about Biden action at border,0.0,-0.1779,0.06666666666666667
FOX,Biden,SEAN HANNITY: Biden looks like he's 'trying to buy votes with your money',-1.0,0.3612,0.0
FOX,Biden,"Biden raises more than $90 million in March, over $187 million in first quarter of 2024",0.5,0.0,0.375
FOX,Biden,LAURA INGRAHAM: The media praises Biden's economy as many new jobs go to non-Americans,-0.2,0.5267,0.3181818181818182
FOX,Biden,Truckers challenge Biden administration over climate crackdown on electric big rigs,0.0,0.0772,0.0
FOX,Biden,Biden's energy ban brings major job-creating project to screeching halt,-0.67,-0.3612,0.0625
FOX,Biden,‘Biden-opoulos’ comment is latest in pattern of president’s controversial ethnicity claims,-0.2,-0.2023,0.525
FOX,Biden,Pressure builds on Biden to act 'now' on Americans held hostage by Hamas,-0.4143,-0.296,0.0
FOX,Biden,"In upcoming meeting with Biden, Japan's Kishida looks to bolster US defense ties",0.0,0.128,0.0
FOX,Biden,Former Army colonel seeking to flip North Carolina House seat says Dem opponent is 'beholden' to Biden,0.0,0.0,0.0
FOX,Trump,"Trump raises more than $50 million at fundraiser, smashing records for a candidate",0.5,0.0,0.5
FOX,Trump,Trump anticipating campaign fundraiser will top $50 million: 'historic' haul,0.5,0.2023,0.25
FOX,Trump,Christian leaders react to Trump's 'God Bless the USA' Bibles,0.0,0.5994,0.0
FOX,Trump,"Sitcom star claims 'White people,' Trump are going to punish minorities after election",-1.0,-0.5267,0.0
FOX,Trump,Kid Rock defends Trump's music taste after media backlash,0.0,0.0,0.0
FOX,Trump,Christian leaders react to Trump's 'God Bless the USA' bibles: 'More Trump than Bible?',0.0,0.5994,0.25
FOX,Trump,Kid Rock defends Trump's music taste as 'freakin' the best' after media backlash,0.7,0.6369,1.0
FOX,Trump,"Trump expected to rake in eye-popping figure at fundraiser, completely smashing records",0.0,0.0,0.0
FOX,Trump,Kid Rock gives his expert opinion of Trump’s playlist after backlash from liberal media,0.0,0.0,0.0
FOX,Trump,Trump campaign raises more than $50 million at Florida fundraiser: 'historic' haul,0.0,0.0,0.25
FOX,Trump,Kid Rock defends Trump after former president’s playlist hit with backlash,0.0,0.0,0.0
NBC,Biden,"Turning point? After deadly strike on aid convoy, Democrats push Biden to put conditions on military help for Israel",-0.5,0.296,-0.15000000000000002
NBC,Biden,"Biden may have trouble getting on Ohio’s general election ballot, state’s top election official warns",0.0,-0.3182,0.11666666666666665
NBC,Biden,"Biden may have trouble getting on Ohio’s general election ballot, state's top elections official warns",0.0,-0.3182,0.11666666666666665
NBC,Biden,Biden and Democratic Party apparatus raised $90 million in March,0.0,0.4019,0.0
NBC,Biden,Judge berates Justice Department for defying House GOP subpoenas tied to Biden impeachment inquiry,0.0,0.5267,0.0
NBC,Biden,Biden officials worry Iran might hit targets inside Israel as payback for killing general,0.0,-0.8074,0.05000000000000002
NBC,Trump,Trump lawyers continue to press for delay in classified documents case,0.0,-0.3182,0.0
NBC,Trump,Democratic congressmen unveil bill to rename a federal prison after Trump,0.0,-0.5106,0.0
NBC,Trump,These are the violent Jan. 6 rioters that Donald Trump calls 'hostages',-0.352,-0.5994,-0.8
NBC,Trump,Hush money judge denies Trump 'fishing expedition' to subpoena info on Stormy Daniels documentary,0.0,-0.4215,0.0
NBC,Trump,Want Trump sneakers? Just raise $2.5 million for the former president,0.0,0.0772,0.0
NBC,Trump,The truth about the Jan. 6 rioters that Donald Trump calls 'hostages',0.0,0.3182,0.0
